epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6849968868494034,0.720625,0.4485539583890932,0.77,0.001
2,0.48712345838546756,0.786875,0.33360212149098517,0.82,0.001
3,0.38870325684547424,0.82875,0.31518450573086737,0.84,0.001
4,0.35862271711230276,0.834375,0.22720085917040705,0.91,0.001
5,0.31832450777292254,0.87125,0.32765260510146615,0.825,0.001
6,0.2892937910556793,0.868125,0.21534521348774432,0.91,0.001
7,0.3005454123020172,0.881875,0.2906940585374832,0.895,0.001
8,0.2718580015003681,0.894375,0.21403540652245284,0.92,0.001
9,0.25117695078253743,0.90625,0.18277326917275785,0.925,0.001
10,0.2425091603398323,0.903125,0.1830628287489526,0.945,0.001
11,0.24978212177753448,0.9025,0.1708772960305214,0.93,0.001
12,0.23220719158649444,0.905,0.1876166090197512,0.92,0.001
13,0.24086539566516876,0.901875,0.16310118496418,0.94,0.001
14,0.2379545223712921,0.906875,0.1866256653450546,0.94,0.0005
15,0.2042123655229807,0.92125,0.15327057145535947,0.935,0.0005
